index,Date,Time,Global_active_power
0,1/1/07,0:00:00,2.58
1,1/1/07,0:01:00,2.552
2,1/1/07,0:02:00,2.55
3,1/1/07,0:03:00,2.55
4,1/1/07,0:04:00,2.554
5,1/1/07,0:05:00,2.55
6,1/1/07,0:06:00,2.534
7,1/1/07,0:07:00,2.484
8,1/1/07,0:08:00,2.468
9,1/1/07,0:09:00,2.486
10,1/1/07,0:10:00,2.492
11,1/1/07,0:11:00,2.5
12,1/1/07,0:12:00,2.494
13,1/1/07,0:13:00,2.492
14,1/1/07,0:14:00,2.48
15,1/1/07,0:15:00,2.478
16,1/1/07,0:16:00,2.47
17,1/1/07,0:17:00,2.466
18,1/1/07,0:18:00,2.456
19,1/1/07,0:19:00,2.46
20,1/1/07,0:20:00,2.544
21,1/1/07,0:21:00,2.55
22,1/1/07,0:22:00,2.554
23,1/1/07,0:23:00,2.65
24,1/1/07,0:24:00,2.682
25,1/1/07,0:25:00,2.66
26,1/1/07,0:26:00,2.65
27,1/1/07,0:27:00,2.654
28,1/1/07,0:28:00,2.642
29,1/1/07,0:29:00,2.644
30,1/1/07,0:30:00,2.648
31,1/1/07,0:31:00,2.646
32,1/1/07,0:32:00,2.644
33,1/1/07,0:33:00,2.656
34,1/1/07,0:34:00,2.65
35,1/1/07,0:35:00,2.642
36,1/1/07,0:36:00,2.63
37,1/1/07,0:37:00,2.606
38,1/1/07,0:38:00,2.556
39,1/1/07,0:39:00,2.602
40,1/1/07,0:40:00,2.602
41,1/1/07,0:41:00,2.594
42,1/1/07,0:42:00,2.6
43,1/1/07,0:43:00,2.602
44,1/1/07,0:44:00,2.6
45,1/1/07,0:45:00,2.598
46,1/1/07,0:46:00,2.59
47,1/1/07,0:47:00,2.554
48,1/1/07,0:48:00,2.484
49,1/1/07,0:49:00,2.472
50,1/1/07,0:50:00,2.486
51,1/1/07,0:51:00,2.486
52,1/1/07,0:52:00,2.482
53,1/1/07,0:53:00,2.484
54,1/1/07,0:54:00,2.48
55,1/1/07,0:55:00,2.458
56,1/1/07,0:56:00,2.46
57,1/1/07,0:57:00,2.462
58,1/1/07,0:58:00,2.472
59,1/1/07,0:59:00,2.466
60,1/1/07,1:00:00,2.466
61,1/1/07,1:01:00,2.59
62,1/1/07,1:02:00,2.59
63,1/1/07,1:03:00,2.576
64,1/1/07,1:04:00,2.566
65,1/1/07,1:05:00,2.564
66,1/1/07,1:06:00,2.56
67,1/1/07,1:07:00,2.552
68,1/1/07,1:08:00,2.564
69,1/1/07,1:09:00,2.558
70,1/1/07,1:10:00,2.56
71,1/1/07,1:11:00,2.576
72,1/1/07,1:12:00,2.57
73,1/1/07,1:13:00,2.56
74,1/1/07,1:14:00,2.566
75,1/1/07,1:15:00,2.502
76,1/1/07,1:16:00,2.482
77,1/1/07,1:17:00,2.478
78,1/1/07,1:18:00,2.482
79,1/1/07,1:19:00,2.58
80,1/1/07,1:20:00,2.564
81,1/1/07,1:21:00,2.58
82,1/1/07,1:22:00,2.572
83,1/1/07,1:23:00,2.566
84,1/1/07,1:24:00,2.57
85,1/1/07,1:25:00,2.57
86,1/1/07,1:26:00,2.566
87,1/1/07,1:27:00,2.504
88,1/1/07,1:28:00,2.474
89,1/1/07,1:29:00,2.456
90,1/1/07,1:30:00,2.448
91,1/1/07,1:31:00,2.446
92,1/1/07,1:32:00,2.452
93,1/1/07,1:33:00,2.452
94,1/1/07,1:34:00,2.452
95,1/1/07,1:35:00,2.444
96,1/1/07,1:36:00,2.444
97,1/1/07,1:37:00,2.462
98,1/1/07,1:38:00,2.51
99,1/1/07,1:39:00,2.546
100,1/1/07,1:40:00,2.548
101,1/1/07,1:41:00,2.548
102,1/1/07,1:42:00,2.552
103,1/1/07,1:43:00,2.544
104,1/1/07,1:44:00,2.538
105,1/1/07,1:45:00,2.548
106,1/1/07,1:46:00,2.554
107,1/1/07,1:47:00,2.552
108,1/1/07,1:48:00,2.55
109,1/1/07,1:49:00,2.548
110,1/1/07,1:50:00,2.552
111,1/1/07,1:51:00,2.548
112,1/1/07,1:52:00,2.502
113,1/1/07,1:53:00,2.466
114,1/1/07,1:54:00,2.48
115,1/1/07,1:55:00,2.474
116,1/1/07,1:56:00,2.47
117,1/1/07,1:57:00,2.464
118,1/1/07,1:58:00,2.45
119,1/1/07,1:59:00,2.496
120,1/1/07,2:00:00,2.504
121,1/1/07,2:01:00,2.54
122,1/1/07,2:02:00,2.568
123,1/1/07,2:03:00,2.566
124,1/1/07,2:04:00,2.574
125,1/1/07,2:05:00,2.582
126,1/1/07,2:06:00,2.576
127,1/1/07,2:07:00,2.556
128,1/1/07,2:08:00,2.502
129,1/1/07,2:09:00,2.514
130,1/1/07,2:10:00,2.508
131,1/1/07,2:11:00,2.52
132,1/1/07,2:12:00,2.518
133,1/1/07,2:13:00,2.518
134,1/1/07,2:14:00,2.514
135,1/1/07,2:15:00,2.54
136,1/1/07,2:16:00,2.608
137,1/1/07,2:17:00,2.622
138,1/1/07,2:18:00,2.618
139,1/1/07,2:19:00,2.618
140,1/1/07,2:20:00,2.624
141,1/1/07,2:21:00,2.632
142,1/1/07,2:22:00,2.63
143,1/1/07,2:23:00,2.622
144,1/1/07,2:24:00,2.614
145,1/1/07,2:25:00,2.596
146,1/1/07,2:26:00,2.598
147,1/1/07,2:27:00,2.584
148,1/1/07,2:28:00,2.592
149,1/1/07,2:29:00,2.568
150,1/1/07,2:30:00,2.514
151,1/1/07,2:31:00,2.518
152,1/1/07,2:32:00,2.518
153,1/1/07,2:33:00,2.522
154,1/1/07,2:34:00,2.532
155,1/1/07,2:35:00,2.542
156,1/1/07,2:36:00,2.532
157,1/1/07,2:37:00,2.504
158,1/1/07,2:38:00,2.498
159,1/1/07,2:39:00,2.5
160,1/1/07,2:40:00,2.57
161,1/1/07,2:41:00,2.568
162,1/1/07,2:42:00,2.576
163,1/1/07,2:43:00,2.574
164,1/1/07,2:44:00,2.614
165,1/1/07,2:45:00,2.654
166,1/1/07,2:46:00,2.67
167,1/1/07,2:47:00,2.666
168,1/1/07,2:48:00,2.624
169,1/1/07,2:49:00,2.58
170,1/1/07,2:50:00,2.586
171,1/1/07,2:51:00,2.592
172,1/1/07,2:52:00,2.588
173,1/1/07,2:53:00,2.692
174,1/1/07,2:54:00,2.696
175,1/1/07,2:55:00,2.69
176,1/1/07,2:56:00,2.694
177,1/1/07,2:57:00,2.68
178,1/1/07,2:58:00,2.666
179,1/1/07,2:59:00,2.654
180,1/1/07,3:00:00,2.648
181,1/1/07,3:01:00,2.666
182,1/1/07,3:02:00,2.672
183,1/1/07,3:03:00,2.67
184,1/1/07,3:04:00,2.672
185,1/1/07,3:05:00,2.666
186,1/1/07,3:06:00,2.662
187,1/1/07,3:07:00,2.58
188,1/1/07,3:08:00,2.57
189,1/1/07,3:09:00,2.57
190,1/1/07,3:10:00,2.568
191,1/1/07,3:11:00,2.58
192,1/1/07,3:12:00,2.558
193,1/1/07,3:13:00,2.522
194,1/1/07,3:14:00,2.52
195,1/1/07,3:15:00,2.506
196,1/1/07,3:16:00,2.532
197,1/1/07,3:17:00,2.55
198,1/1/07,3:18:00,2.54
199,1/1/07,3:19:00,2.764
200,1/1/07,3:20:00,2.7
201,1/1/07,3:21:00,2.8
202,1/1/07,3:22:00,2.54
203,1/1/07,3:23:00,2.548
204,1/1/07,3:24:00,2.554
205,1/1/07,3:25:00,2.558
206,1/1/07,3:26:00,2.542
207,1/1/07,3:27:00,2.536
208,1/1/07,3:28:00,2.534
209,1/1/07,3:29:00,2.468
210,1/1/07,3:30:00,2.522
211,1/1/07,3:31:00,2.556
212,1/1/07,3:32:00,2.536
213,1/1/07,3:33:00,2.532
214,1/1/07,3:34:00,2.536
215,1/1/07,3:35:00,2.534
216,1/1/07,3:36:00,2.538
217,1/1/07,3:37:00,2.538
218,1/1/07,3:38:00,2.54
219,1/1/07,3:39:00,2.54
220,1/1/07,3:40:00,2.546
221,1/1/07,3:41:00,2.55
222,1/1/07,3:42:00,2.542
223,1/1/07,3:43:00,2.544
224,1/1/07,3:44:00,2.466
225,1/1/07,3:45:00,2.45
226,1/1/07,3:46:00,2.446
227,1/1/07,3:47:00,2.456
228,1/1/07,3:48:00,2.46
229,1/1/07,3:49:00,2.448
230,1/1/07,3:50:00,2.458
231,1/1/07,3:51:00,2.456
232,1/1/07,3:52:00,2.452
233,1/1/07,3:53:00,2.448
234,1/1/07,3:54:00,2.45
235,1/1/07,3:55:00,2.45
236,1/1/07,3:56:00,2.456
237,1/1/07,3:57:00,2.43
238,1/1/07,3:58:00,2.42
239,1/1/07,3:59:00,2.404
240,1/1/07,4:00:00,2.4
241,1/1/07,4:01:00,2.416
242,1/1/07,4:02:00,2.476
243,1/1/07,4:03:00,2.474
244,1/1/07,4:04:00,2.482
245,1/1/07,4:05:00,2.484
246,1/1/07,4:06:00,2.474
247,1/1/07,4:07:00,2.474
248,1/1/07,4:08:00,2.58
249,1/1/07,4:09:00,2.574
250,1/1/07,4:10:00,2.518
251,1/1/07,4:11:00,2.522
252,1/1/07,4:12:00,2.498
253,1/1/07,4:13:00,2.496
254,1/1/07,4:14:00,2.496
255,1/1/07,4:15:00,2.486
256,1/1/07,4:16:00,2.488
257,1/1/07,4:17:00,2.48
258,1/1/07,4:18:00,2.488
259,1/1/07,4:19:00,2.49
260,1/1/07,4:20:00,2.484
261,1/1/07,4:21:00,2.464
262,1/1/07,4:22:00,2.398
263,1/1/07,4:23:00,2.392
264,1/1/07,4:24:00,2.406
265,1/1/07,4:25:00,2.398
266,1/1/07,4:26:00,2.398
267,1/1/07,4:27:00,2.398
268,1/1/07,4:28:00,2.402
269,1/1/07,4:29:00,2.406
270,1/1/07,4:30:00,2.412
271,1/1/07,4:31:00,2.42
272,1/1/07,4:32:00,2.418
273,1/1/07,4:33:00,2.422
274,1/1/07,4:34:00,2.418
275,1/1/07,4:35:00,2.416
276,1/1/07,4:36:00,2.42
277,1/1/07,4:37:00,2.424
278,1/1/07,4:38:00,2.43
279,1/1/07,4:39:00,2.434
280,1/1/07,4:40:00,2.436
281,1/1/07,4:41:00,2.43
282,1/1/07,4:42:00,2.468
283,1/1/07,4:43:00,2.516
284,1/1/07,4:44:00,2.508
285,1/1/07,4:45:00,2.548
286,1/1/07,4:46:00,2.6
287,1/1/07,4:47:00,2.592
288,1/1/07,4:48:00,2.598
289,1/1/07,4:49:00,2.58
290,1/1/07,4:50:00,2.55
291,1/1/07,4:51:00,2.508
292,1/1/07,4:52:00,2.516
293,1/1/07,4:53:00,2.512
294,1/1/07,4:54:00,2.508
295,1/1/07,4:55:00,2.508
296,1/1/07,4:56:00,2.51
297,1/1/07,4:57:00,2.516
298,1/1/07,4:58:00,2.524
299,1/1/07,4:59:00,2.46
300,1/1/07,5:00:00,2.436
301,1/1/07,5:01:00,2.434
302,1/1/07,5:02:00,2.432
303,1/1/07,5:03:00,2.442
304,1/1/07,5:04:00,2.442
305,1/1/07,5:05:00,2.418
306,1/1/07,5:06:00,2.428
307,1/1/07,5:07:00,2.42
308,1/1/07,5:08:00,2.426
309,1/1/07,5:09:00,2.488
310,1/1/07,5:10:00,2.508
311,1/1/07,5:11:00,2.52
312,1/1/07,5:12:00,2.524
313,1/1/07,5:13:00,2.524
314,1/1/07,5:14:00,2.524
315,1/1/07,5:15:00,2.506
316,1/1/07,5:16:00,2.496
317,1/1/07,5:17:00,2.482
318,1/1/07,5:18:00,2.484
319,1/1/07,5:19:00,2.48
320,1/1/07,5:20:00,2.496
321,1/1/07,5:21:00,2.488
322,1/1/07,5:22:00,2.484
323,1/1/07,5:23:00,2.616
324,1/1/07,5:24:00,2.652
325,1/1/07,5:25:00,2.646
326,1/1/07,5:26:00,2.646
327,1/1/07,5:27:00,2.652
328,1/1/07,5:28:00,2.654
329,1/1/07,5:29:00,2.65
330,1/1/07,5:30:00,2.644
331,1/1/07,5:31:00,2.646
332,1/1/07,5:32:00,2.572
333,1/1/07,5:33:00,2.584
334,1/1/07,5:34:00,2.58
335,1/1/07,5:35:00,2.564
336,1/1/07,5:36:00,2.526
337,1/1/07,5:37:00,2.398
338,1/1/07,5:38:00,2.376
339,1/1/07,5:39:00,2.38
340,1/1/07,5:40:00,2.39
341,1/1/07,5:41:00,2.392
342,1/1/07,5:42:00,2.396
343,1/1/07,5:43:00,2.416
344,1/1/07,5:44:00,2.408
345,1/1/07,5:45:00,2.4
346,1/1/07,5:46:00,2.398
347,1/1/07,5:47:00,2.396
348,1/1/07,5:48:00,2.4
349,1/1/07,5:49:00,2.422
350,1/1/07,5:50:00,2.422
351,1/1/07,5:51:00,2.416
352,1/1/07,5:52:00,2.4
353,1/1/07,5:53:00,2.392
354,1/1/07,5:54:00,2.38
355,1/1/07,5:55:00,2.372
356,1/1/07,5:56:00,2.372
357,1/1/07,5:57:00,2.364
358,1/1/07,5:58:00,2.38
359,1/1/07,5:59:00,2.39
360,1/1/07,6:00:00,2.46
361,1/1/07,6:01:00,2.502
362,1/1/07,6:02:00,2.496
363,1/1/07,6:03:00,2.49
364,1/1/07,6:04:00,2.482
365,1/1/07,6:05:00,2.538
366,1/1/07,6:06:00,2.544
367,1/1/07,6:07:00,2.546
368,1/1/07,6:08:00,2.55
369,1/1/07,6:09:00,2.548
370,1/1/07,6:10:00,2.544
371,1/1/07,6:11:00,2.548
372,1/1/07,6:12:00,2.546
373,1/1/07,6:13:00,2.508
374,1/1/07,6:14:00,2.382
375,1/1/07,6:15:00,2.374
376,1/1/07,6:16:00,2.378
377,1/1/07,6:17:00,2.378
378,1/1/07,6:18:00,2.392
379,1/1/07,6:19:00,2.41
380,1/1/07,6:20:00,2.404
381,1/1/07,6:21:00,2.402
382,1/1/07,6:22:00,2.4
383,1/1/07,6:23:00,2.392
384,1/1/07,6:24:00,2.394
385,1/1/07,6:25:00,2.378
386,1/1/07,6:26:00,2.384
387,1/1/07,6:27:00,2.388
388,1/1/07,6:28:00,2.392
389,1/1/07,6:29:00,2.392
390,1/1/07,6:30:00,2.402
391,1/1/07,6:31:00,2.404
392,1/1/07,6:32:00,2.406
393,1/1/07,6:33:00,2.4
394,1/1/07,6:34:00,2.406
395,1/1/07,6:35:00,2.408
396,1/1/07,6:36:00,2.392
397,1/1/07,6:37:00,2.406
398,1/1/07,6:38:00,2.48
399,1/1/07,6:39:00,2.474
400,1/1/07,6:40:00,2.484
401,1/1/07,6:41:00,2.49
402,1/1/07,6:42:00,2.498
403,1/1/07,6:43:00,2.502
404,1/1/07,6:44:00,2.51
405,1/1/07,6:45:00,2.5
406,1/1/07,6:46:00,2.492
407,1/1/07,6:47:00,2.56
408,1/1/07,6:48:00,2.538
409,1/1/07,6:49:00,2.534
410,1/1/07,6:50:00,2.54
411,1/1/07,6:51:00,2.516
412,1/1/07,6:52:00,2.478
413,1/1/07,6:53:00,2.484
414,1/1/07,6:54:00,2.476
415,1/1/07,6:55:00,2.444
416,1/1/07,6:56:00,2.394
417,1/1/07,6:57:00,2.396
418,1/1/07,6:58:00,2.396
419,1/1/07,6:59:00,2.396
420,1/1/07,7:00:00,2.396
421,1/1/07,7:01:00,2.388
422,1/1/07,7:02:00,2.39
423,1/1/07,7:03:00,2.386
424,1/1/07,7:04:00,2.374
425,1/1/07,7:05:00,2.362
426,1/1/07,7:06:00,2.362
427,1/1/07,7:07:00,2.376
428,1/1/07,7:08:00,2.362
429,1/1/07,7:09:00,2.364
430,1/1/07,7:10:00,2.366
431,1/1/07,7:11:00,2.36
432,1/1/07,7:12:00,2.362
433,1/1/07,7:13:00,2.368
434,1/1/07,7:14:00,2.378
435,1/1/07,7:15:00,2.488
436,1/1/07,7:16:00,2.478
437,1/1/07,7:17:00,2.482
438,1/1/07,7:18:00,2.476
439,1/1/07,7:19:00,2.466
440,1/1/07,7:20:00,2.458
441,1/1/07,7:21:00,2.464
442,1/1/07,7:22:00,2.468
443,1/1/07,7:23:00,2.47
444,1/1/07,7:24:00,2.472
445,1/1/07,7:25:00,2.474
446,1/1/07,7:26:00,2.46
447,1/1/07,7:27:00,2.444
448,1/1/07,7:28:00,2.496
449,1/1/07,7:29:00,2.448
450,1/1/07,7:30:00,2.422
451,1/1/07,7:31:00,2.43
452,1/1/07,7:32:00,2.432
453,1/1/07,7:33:00,2.43
454,1/1/07,7:34:00,2.476
455,1/1/07,7:35:00,2.502
456,1/1/07,7:36:00,2.508
457,1/1/07,7:37:00,2.468
458,1/1/07,7:38:00,2.44
459,1/1/07,7:39:00,2.442
460,1/1/07,7:40:00,2.45
461,1/1/07,7:41:00,2.458
462,1/1/07,7:42:00,2.468
463,1/1/07,7:43:00,2.444
464,1/1/07,7:44:00,2.444
465,1/1/07,7:45:00,2.442
466,1/1/07,7:46:00,2.448
467,1/1/07,7:47:00,2.438
468,1/1/07,7:48:00,2.432
469,1/1/07,7:49:00,2.448
470,1/1/07,7:50:00,2.446
471,1/1/07,7:51:00,2.45
472,1/1/07,7:52:00,2.53
473,1/1/07,7:53:00,2.554
474,1/1/07,7:54:00,2.536
475,1/1/07,7:55:00,2.538
476,1/1/07,7:56:00,2.536
477,1/1/07,7:57:00,2.534
478,1/1/07,7:58:00,2.522
479,1/1/07,7:59:00,2.526
480,1/1/07,8:00:00,2.532
481,1/1/07,8:01:00,2.528
482,1/1/07,8:02:00,2.51
483,1/1/07,8:03:00,2.474
484,1/1/07,8:04:00,2.462
485,1/1/07,8:05:00,2.46
486,1/1/07,8:06:00,2.448
487,1/1/07,8:07:00,2.374
488,1/1/07,8:08:00,2.38
489,1/1/07,8:09:00,2.452
490,1/1/07,8:10:00,2.454
491,1/1/07,8:11:00,2.448
492,1/1/07,8:12:00,2.45
493,1/1/07,8:13:00,2.448
494,1/1/07,8:14:00,2.45
495,1/1/07,8:15:00,2.456
496,1/1/07,8:16:00,2.444
497,1/1/07,8:17:00,2.438
498,1/1/07,8:18:00,2.372
499,1/1/07,8:19:00,2.366
500,1/1/07,8:20:00,2.362
501,1/1/07,8:21:00,2.364
502,1/1/07,8:22:00,2.376
503,1/1/07,8:23:00,2.394
504,1/1/07,8:24:00,2.392
505,1/1/07,8:25:00,2.398
506,1/1/07,8:26:00,2.4
507,1/1/07,8:27:00,2.388
508,1/1/07,8:28:00,2.4
509,1/1/07,8:29:00,2.422
510,1/1/07,8:30:00,2.49
511,1/1/07,8:31:00,2.476
512,1/1/07,8:32:00,2.48
513,1/1/07,8:33:00,2.478
514,1/1/07,8:34:00,2.488
515,1/1/07,8:35:00,2.484
516,1/1/07,8:36:00,2.492
517,1/1/07,8:37:00,2.494
518,1/1/07,8:38:00,2.484
519,1/1/07,8:39:00,2.472
520,1/1/07,8:40:00,2.466
521,1/1/07,8:41:00,2.47
522,1/1/07,8:42:00,2.476
523,1/1/07,8:43:00,2.482
524,1/1/07,8:44:00,2.436
525,1/1/07,8:45:00,2.392
526,1/1/07,8:46:00,2.388
527,1/1/07,8:47:00,2.388
528,1/1/07,8:48:00,2.394
529,1/1/07,8:49:00,2.472
530,1/1/07,8:50:00,2.474
531,1/1/07,8:51:00,2.47
532,1/1/07,8:52:00,2.454
533,1/1/07,8:53:00,2.458
534,1/1/07,8:54:00,2.458
535,1/1/07,8:55:00,2.45
536,1/1/07,8:56:00,2.454
537,1/1/07,8:57:00,2.454
538,1/1/07,8:58:00,2.394
539,1/1/07,8:59:00,2.394
540,1/1/07,9:00:00,2.384
541,1/1/07,9:01:00,2.37
542,1/1/07,9:02:00,2.368
543,1/1/07,9:03:00,2.362
544,1/1/07,9:04:00,2.364
545,1/1/07,9:05:00,2.362
546,1/1/07,9:06:00,2.364
547,1/1/07,9:07:00,2.388
548,1/1/07,9:08:00,2.456
549,1/1/07,9:09:00,2.444
550,1/1/07,9:10:00,2.45
551,1/1/07,9:11:00,2.46
552,1/1/07,9:12:00,2.468
553,1/1/07,9:13:00,2.464
554,1/1/07,9:14:00,2.464
555,1/1/07,9:15:00,2.456
556,1/1/07,9:16:00,2.44
557,1/1/07,9:17:00,2.448
558,1/1/07,9:18:00,2.46
559,1/1/07,9:19:00,3.504
560,1/1/07,9:20:00,3.502
561,1/1/07,9:21:00,3.498
562,1/1/07,9:22:00,3.406
563,1/1/07,9:23:00,3.398
564,1/1/07,9:24:00,3.38
565,1/1/07,9:25:00,3.39
566,1/1/07,9:26:00,3.406
567,1/1/07,9:27:00,3.442
568,1/1/07,9:28:00,3.444
569,1/1/07,9:29:00,3.504
570,1/1/07,9:30:00,3.506
571,1/1/07,9:31:00,3.5
572,1/1/07,9:32:00,3.498
573,1/1/07,9:33:00,3.512
574,1/1/07,9:34:00,3.514
575,1/1/07,9:35:00,3.51
576,1/1/07,9:36:00,3.522
577,1/1/07,9:37:00,3.506
578,1/1/07,9:38:00,3.434
579,1/1/07,9:39:00,3.44
580,1/1/07,9:40:00,3.442
581,1/1/07,9:41:00,3.458
582,1/1/07,9:42:00,3.456
583,1/1/07,9:43:00,3.452
584,1/1/07,9:44:00,3.458
585,1/1/07,9:45:00,3.5
586,1/1/07,9:46:00,3.538
587,1/1/07,9:47:00,3.54
588,1/1/07,9:48:00,3.526
589,1/1/07,9:49:00,3.542
590,1/1/07,9:50:00,3.558
591,1/1/07,9:51:00,3.542
592,1/1/07,9:52:00,3.528
593,1/1/07,9:53:00,3.512
594,1/1/07,9:54:00,3.502
595,1/1/07,9:55:00,3.49
596,1/1/07,9:56:00,3.486
597,1/1/07,9:57:00,3.468
598,1/1/07,9:58:00,3.482
599,1/1/07,9:59:00,3.5
600,1/1/07,10:00:00,3.48
601,1/1/07,10:01:00,3.498
602,1/1/07,10:02:00,3.504
603,1/1/07,10:03:00,3.5
604,1/1/07,10:04:00,3.484
605,1/1/07,10:05:00,3.474
606,1/1/07,10:06:00,3.482
